razon_social;localidad;web_activa;rubro;empleados;senales;contacto_nombre;contacto_cargo;email;telefono;fuente_enriquecimiento
Simetra Service Srl;Neuquen;sí (según buscador);Servicios para la industria del petróleo y gas: construcción, montaje mecánico y obras civiles;;petrolera | obras | montaje | proyectos | Vaca Muerta | la web y LinkedIn figuran como Simetra Service S.A. (posible cambio de tipo societario);;;info@simetra.com.ar;+54 0299 4413075 / (0299) 4413762 (directorio);https://www.simetra.com.ar/ | https://ar.linkedin.com/company/simetrasa | https://ar.linkedin.com/company/simetra-service-s.r.l | https://www.guiacores.com.ar/index.php?r=search/detail&id=9898 | https://www.cuitonline.com/detalle/30707184996/simetra-service-s.-a.html
Cintas Metalicas Moros S.A.;Lanus;sí (según buscador);Diseño, fabricación y montaje de cintas y mallas metálicas transportadoras y equipos industriales;;montaje | proyectos (ingeniería y diseño, montajes industriales);;;leonel@moros.com.ar;+5411 7515-4786 / 011 4241-8200;https://www.moros.com.ar/ | https://www.moros.com.ar/contacto.htm | https://www.moros.com.ar/es/contacto | https://www.moros.com.ar/es/productos/equipos | https://ar.linkedin.com/company/cintas-me%C3%A1licas-moros-s-a
Hidraulica C & C S.R.L.;Rosario Sud;sí (según buscador);Reparación de cilindros hidráulicos, mantenimiento de equipos hidráulicos, service en planta y naval, venta de componentes oleohidráulicos;;mantenimiento | service en planta y a bordo de buques (flota fluvial) | más de 20 años;;;cyc@hidraulicacyc.com.ar;0341 153-283811;https://hidraulicacyc.com.ar/ | https://hidraulicacyc.com.ar/contacto/ | https://hidraulicacyc.com.ar/nosotros/ | https://rosario.com.ar/guia/hidraulica-cyc-srl-rosario.htm
J L Electromecanica S.R.L.;La Rioja;;Instalación, ejecución y mantenimiento de instalaciones eléctricas, electromecánicas y electrónicas (según directorios, sin web propia);;mantenimiento | obras | sin web propia encontrada (solo directorios) | prensa local 2016 vincula a un socio con gerencia de EDELaR (distribuidora eléctrica provincial);;;;3822450168 (directorio Tuugo, no publicado por la empresa);https://www.tuugo.com.ar/Companies/j-l-electromecanica/0040003075664 | https://www.cuitonline.com/detalle/30709622192/j-l-electromecanica-s.r.l.html | https://riojapolitica.wordpress.com/2016/03/31/gerente-de-edelar-sa-es-el-dueno-de-j-l-electromecanica-srl/
Industria Metalurgica Barrancas Sa;Barrancas;sí (según buscador);Fabricación de cilindros de freno y embrague y bombas hidráulicas (marcas IMBASA y GFA) para autos, utilitarios, maquinaria agrícola y equipo pesado;;área comercial | tienda y catálogo online en frenosimbasa.com.ar | mecanizado CNC;;;pedidos@frenosimbasa.com.ar;+54 03466 420100 / +54 03466 420698;https://imbasa.ar/ | http://imbasa.ar/nosotros | https://frenosimbasa.com.ar/catalogo-online/ | https://www.argentino.com.ar/imbasa-F120AC4071DD4 | https://www.linkedin.com/company/industria-metalurgica-barrancas-s-a
Metal Noet Srl;Noetinger;sí (según buscador);Fabricación de cabezales draper (plataformas de cosecha a lona) y reformas de plataformas convencionales - marca Piersanti;;exportación (Brasil y Paraguay, Agritechnica) | red de representantes/concesionarios | búsqueda laboral (página RRHH) | 40 años (2026);Juan Carlos Piersanti;Fundador (según web y prensa);rrhh@piersanti.com.ar (RRHH);+54 (3472) 470195 / +54 (3472) 470777;https://piersanti.com.ar/en/ | https://piersanti.com.ar/en/en_company/ | https://piersanti.com.ar/en/en_sales-network/ | https://piersanti.com.ar/en/en_human-resources/ | https://www.exportadoresdecordoba.com/empresas/piersanti-plataformas-1369.html | https://ar.linkedin.com/company/piersanti | https://www.noticiasdecampo.com/2026/03/31/de-taller-a-referente-piersanti-celebra-40-anos-de-crecimiento/
Metalurgica Del Sur S.A;Villa Gobernador Galvez;sí (según buscador);Fabricación de grúas puente, pórtico y pluma, monorrieles, aparejos y sistemas de movimiento de cargas (marca MDS);11-50 (LinkedIn);proyectos | servicio posventa | ingeniería y desarrollo;;;info@mds.com.ar;+54 341 518-2906 (líneas rotativas) / +54 9 341 212 1637;https://mds.com.ar/contacto/ | https://mds.com.ar/empresa/ | https://ar.linkedin.com/company/metalurgicadelsur
Metalurgica Sarmiento S R L;Esperanza;sí (según buscador);Ingeniería, fabricación y montaje de equipos metálicos: aspiración, transporte y filtrado de polvos y gases;51-200 (LinkedIn, según buscador);montaje | proyectos | minería (socio de CAPMIN) | tres divisiones industriales;;;contacto@metalurgicasarmiento.com / presidencia@metalurgicasarmiento.com;+54 03496 412200 / +54 03496 421571;https://metalurgicasarmiento.com/ | https://metalurgicasarmiento.com/contacto-metalurgica-sarmiento/ | https://ar.linkedin.com/company/metal%C3%BArgica-sarmiento | https://www.capmin.com.ar/Proveedores-mineros/metalurgica-sarmiento-srl/
E R A Energias Renovables Argentinas Sa;Piamonte;sí (según buscador) - también existe erasa.com.ar (ERA SA);Planta de biocombustibles / bioenergía y productos como coadyuvantes agrícolas;;energía | renovables | nueva web erasa.com.ar;;;;+54 03401 455114 / +549 3401 414695 (erasa.com.ar);http://www.era.com.ar/contacto/ | http://era.com.ar/planta/ | http://era.com.ar/productos/ | https://erasa.com.ar/contacto/ | https://www.instagram.com/erabioenergia/
Omicron Construcciones Y Montajes S R L;San Lorenzo;sí (según buscador);Servicios industriales: mantenimiento, ingeniería, construcción y montaje para petroleras, refinerías y químicas;;montaje | mantenimiento | obras | petrolera;;;;(03476) 43-1620 (directorio Cylex, no confirmado en la web);https://omicronsrl.com.ar/ | https://omicronsrl.com.ar/quienes-somos/ | http://omicronsrl.com.ar/trabajos/ | https://www.cylex.com.ar/pino-de-san-lorenzo/omicron-construcciones-y-montajes-s-r-l-11512684.html
